x,major,minor,rssi,txpower,est_dist,time
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:47
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:47
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:47
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:47
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:47
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:47
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:47
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:47
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:47
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:47
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:48
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:49
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:50
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:51
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-63,-59,1.7,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-66,-59,2.08,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:52
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-64,-59,1.82,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-65,-59,1.94,2021.11.16 23:53
c2:02:0b:00:05:4b,40001,30535,-67,-59,2.22,2021.11.16 23:53
